season,date,event,patch,blue_team,red_team,winner,blue_team_win
1,2011-06-18,Main,,TSM,Team_gamed_21-de,TSM,1
1,2011-06-18,Main,,Counter_Logic_Gaming,Xan,Counter_Logic_Gaming,1
1,2011-06-18,Main,,TSM,Counter_Logic_Gaming,TSM,1
1,2011-06-18,Main,,Team_gamed_21-de,Xan,Team_gamed_21-de,1
1,2011-06-18,Main,,TSM,Xan,Xan,0
1,2011-06-18,Main,,Team_gamed_21-de,Counter_Logic_Gaming,Counter_Logic_Gaming,0
1,2011-06-18,Main,,Against_All_authority,Pacific_eSports,Against_All_authority,1
1,2011-06-18,Main,,Epik_Gamer,Fnatic,Epik_Gamer,1
1,2011-06-18,Main,,Against_All_authority,Fnatic,Against_All_authority,1
1,2011-06-18,Main,,Epik_Gamer,Pacific_eSports,Epik_Gamer,1
1,2011-06-18,Main,,Fnatic,Pacific_eSports,Fnatic,1
1,2011-06-18,Main,,Against_All_authority,Epik_Gamer,Epik_Gamer,0
1,2011-06-19,Main,,Fnatic,Epik_Gamer,Fnatic,1
1,2011-06-19,Main,,Epik_Gamer,Fnatic,Fnatic,0
1,2011-06-19,Main,,TSM,Against_All_authority,Against_All_authority,0
1,2011-06-19,Main,,Against_All_authority,TSM,Against_All_authority,1
1,2011-06-19,Main,,TSM,Against_All_authority,TSM,1
1,2011-06-19,Main,,Team_gamed_21-de,Counter_Logic_Gaming,Counter_Logic_Gaming,0
1,2011-06-19,Main,,Fnatic,Counter_Logic_Gaming,Fnatic,1
1,2011-06-19,Main,,Counter_Logic_Gaming,Fnatic,Fnatic,0
1,2011-06-19,Main,,Against_All_authority,Team_gamed_21-de,Against_All_authority,1
1,2011-06-20,Main,,Against_All_authority,Fnatic,Fnatic,0
1,2011-06-20,Main,,Fnatic,Against_All_authority,Against_All_authority,0
1,2011-06-20,Main,,Against_All_authority,TSM,Against_All_authority,1
1,2011-06-20,Main,,Epik_Gamer,TSM,TSM,0
1,2011-06-20,Main,,TSM,Epik_Gamer,TSM,1
1,2011-06-20,Main,,Fnatic,Against_All_authority,Fnatic,1
1,2011-06-20,Main,,Against_All_authority,Fnatic,Fnatic,0
2,2012-10-04,Main,,NaJin_Black_Sword,Saigon_Jokers,NaJin_Black_Sword,1
2,2012-10-04,Main,,Dignitas,Counter_Logic_Gaming_Europe,Counter_Logic_Gaming_Europe,0
2,2012-10-04,Main,,Invictus_Gaming,SK_Gaming,Invictus_Gaming,1
2,2012-10-04,Main,,Azubu_Frost,Counter_Logic_Gaming,Azubu_Frost,1
2,2012-10-04,Main,,SK_Gaming,Counter_Logic_Gaming,Counter_Logic_Gaming,0
2,2012-10-04,Main,,SK_Gaming,Azubu_Frost,Azubu_Frost,0
2,2012-10-04,Main,,Invictus_Gaming,Counter_Logic_Gaming,Invictus_Gaming,1
2,2012-10-04,Main,,Azubu_Frost,Invictus_Gaming,Azubu_Frost,1
2,2012-10-05,Main,,TSM,Azubu_Frost,Azubu_Frost,0
2,2012-10-05,Main,,NaJin_Black_Sword,Taipei_Assassins,Taipei_Assassins,0
2,2012-10-05,Main,,Taipei_Assassins,NaJin_Black_Sword,Taipei_Assassins,1
2,2012-10-05,Main,,Invictus_Gaming,Moscow_Five,Moscow_Five,0
2,2012-10-05,Main,,Moscow_Five,Invictus_Gaming,Moscow_Five,1
2,2012-10-05,Main,,Dignitas,NaJin_Black_Sword,NaJin_Black_Sword,0
2,2012-10-05,Main,,Dignitas,Saigon_Jokers,Saigon_Jokers,0
2,2012-10-05,Main,,Saigon_Jokers,Counter_Logic_Gaming_Europe,Counter_Logic_Gaming_Europe,0
2,2012-10-05,Main,,Counter_Logic_Gaming_Europe,NaJin_Black_Sword,NaJin_Black_Sword,0
2,2012-10-06,Main,,Azubu_Frost,TSM,Azubu_Frost,1
2,2012-10-07,Main,,Team_WE,Counter_Logic_Gaming_Europe,Counter_Logic_Gaming_Europe,0
2,2012-10-07,Main,,Counter_Logic_Gaming_Europe,Team_WE,Team_WE,0
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Azubu_Frost,Azubu_Frost,0
2,2012-10-11,Main,,Azubu_Frost,Counter_Logic_Gaming_Europe,Azubu_Frost,1
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Azubu_Frost,Counter_Logic_Gaming_Europe,1
2,2012-10-11,Main,,Counter_Logic_Gaming_Europe,Team_WE,Counter_Logic_Gaming_Europe,1
2,2012-10-11,Main,,Moscow_Five,Taipei_Assassins,Taipei_Assassins,0
2,2012-10-11,Main,,Taipei_Assassins,Moscow_Five,Taipei_Assassins,1
2,2012-10-11,Main,,Moscow_Five,Taipei_Assassins,Moscow_Five,1
2,2012-10-14,Main,,Azubu_Frost,Taipei_Assassins,Taipei_Assassins,0
2,2012-10-14,Main,,Taipei_Assassins,Azubu_Frost,Taipei_Assassins,1
2,2012-10-14,Main,,Azubu_Frost,Taipei_Assassins,Taipei_Assassins,0
2,2012-10-14,Main,,Taipei_Assassins,Azubu_Frost,Azubu_Frost,0
3,2013-09-15,Main,,Oh_My_God,SK_Telecom_T1,Oh_My_God,1
3,2013-09-15,Main,,Lemondogs,GamingGear_2e-eu,Lemondogs,1
3,2013-09-15,Main,,TSM,Oh_My_God,Oh_My_God,0
3,2013-09-15,Main,,SK_Telecom_T1,Lemondogs,SK_Telecom_T1,1
