season,date,event,patch,blue_team,red_team,winner,blue_team_win,elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
1,2011-06-18,Main,,TSM,Team_gamed_21-de,TSM,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
1,2011-06-18,Main,,Counter_Logic_Gaming,Xan,Counter_Logic_Gaming,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
1,2011-06-18,Main,,TSM,Counter_Logic_Gaming,TSM,1,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.5
1,2011-06-18,Main,,Team_gamed_21-de,Xan,Team_gamed_21-de,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.0
1,2011-06-18,Main,,TSM,Xan,Xan,0,64.0,1.0,1.0,1.0,0,0,0.0,1.0,0.0
1,2011-06-18,Main,,Team_gamed_21-de,Counter_Logic_Gaming,Counter_Logic_Gaming,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0
1,2011-06-18,Main,,Against_All_authority,Pacific_eSports,Against_All_authority,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
1,2011-06-18,Main,,Epik_Gamer,Fnatic,Epik_Gamer,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
1,2011-06-18,Main,,Against_All_authority,Fnatic,Against_All_authority,1,32.0,1.0,1.0,1.0,0,0,0.0,1.0,0.0
1,2011-06-18,Main,,Epik_Gamer,Pacific_eSports,Epik_Gamer,1,32.0,1.0,1.0,1.0,0,0,0.0,1.0,0.0
1,2011-06-18,Main,,Fnatic,Pacific_eSports,Fnatic,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.0
1,2011-06-18,Main,,Against_All_authority,Epik_Gamer,Epik_Gamer,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.5
1,2011-06-19,Main,,Fnatic,Epik_Gamer,Fnatic,1,-61.06099694204886,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,0,0,-0.5,1.0,1.0
1,2011-06-19,Main,,Epik_Gamer,Fnatic,Fnatic,0,23.494267267221858,0.25,0.25,0.25,0,0,0.0,1.0,0.0
1,2011-06-19,Main,,TSM,Against_All_authority,Against_All_authority,0,-1.4449175531026413,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,0.5
1,2011-06-19,Main,,Against_All_authority,TSM,Against_All_authority,1,33.311836495608986,0.25,0.25,0.25,0,0,0.5,0.6666666666666666,0.5
1,2011-06-19,Main,,TSM,Against_All_authority,TSM,1,-62.25307012291114,-0.4,-0.4,-0.4,0,0,-0.5,0.5,1.0
1,2011-06-19,Main,,Team_gamed_21-de,Counter_Logic_Gaming,Counter_Logic_Gaming,0,-32.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,-0.5,0.5,0.5
