Unnamed: 0.1,Unnamed: 0,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
45772,45772,2015-11-03,NiP,Envy,Cobblestone,16,9,1,2,4,6,12,3,1934,2299003,6,1,16,9,1,0.0,0.0,0.0,0,5,0.5,1
45771,45771,2015-11-03,NiP,Dignitas,Train,16,4,1,2,4,1,12,3,1934,2299001,6,12,16,4,1,16.0,1.0,1.0,1,-6,0.5,1
45770,45770,2015-11-04,CLG,Liquid,Inferno,16,12,1,1,7,8,9,4,1934,2299011,10,14,16,12,1,0.0,0.0,0.0,0,-4,0.5,1
45769,45769,2015-11-05,G2,E-frag.net,Dust2,16,13,1,1,10,5,6,8,1970,2299059,7,16,1,2,2,0.0,0.0,0.0,0,-9,0.5,0
45768,45768,2015-11-05,G2,E-frag.net,Inferno,13,16,2,1,8,7,5,9,1970,2299059,7,16,1,2,2,-32.0,-1.0,-1.0,0,-9,0.0,0
45767,45767,2015-11-05,G2,E-frag.net,Cache,19,22,2,2,6,9,9,6,1970,2299059,7,16,1,2,2,-61.06099694204886,-1.0,-1.0,0,-9,0.0,0
45766,45766,2015-11-05,Vexed,CSGL,Train,16,11,1,1,8,7,8,4,1881,2299057,18,19,2,0,1,0.0,0.0,0.0,0,-1,0.5,1
45765,45765,2015-11-05,Vexed,CSGL,Overpass,16,2,1,1,13,2,3,0,1881,2299057,18,19,2,0,1,32.0,1.0,1.0,0,-1,1.0,1
45764,45764,2015-11-05,CLG,Luminosity,Cache,4,16,2,2,1,4,3,12,1934,2299040,10,9,4,16,2,16.0,1.0,1.0,1,1,0.5,0
45763,45763,2015-11-05,Liquid,Luminosity,Cobblestone,16,6,1,1,9,6,7,0,1934,2299042,14,9,16,6,1,-32.73630679352209,-1.0,-1.0,0,5,0.5,1
45758,45758,2015-11-06,Natus Vincere,mousesports,Overpass,7,16,2,1,4,11,3,5,1853,2299078,5,13,0,2,2,0.0,0.0,0.0,0,-8,0.5,0
